House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
19,Harris Wall,Marie,Howell,14,Daughter,NA,Female,Student,None,NA
20,Harris Wall,Daniel,Singh,43,Head,Single,Male,"Restaurant manager, fast food",None,None
20,Harris Wall,Hazel,Baxter,44,Partner,Single,Female,"Geneticist, molecular",None,None
21,Harris Wall,Lynda,Davies,48,Head,Single,Female,Health service manager,None,Catholic
21,Harris Wall,Jack,Thompson,52,Partner,Single,Male,Intelligence analyst,None,None
22,Harris Wall,Rachel,Barnett,94,Head,Married,Female,"Retired Surveyor, planning and development",None,Christian
22,Harris Wall,Duncan,Barnett,95,Husband,Married,Male,Retired Agricultural consultant,None,Christian
23,Harris Wall,Joe,Sanders,39,Head,Single,Male,Unemployed,None,Jewish
23,Harris Wall,Hollie,Gill,32,Partner,Single,Female,"Engineer, mining",None,Jewish
23,Harris Wall,Teresa,Sanders,7,Daughter,NA,Female,Student,None,NA
1,Wade Drive,Ashleigh,White,74,Head,Widowed,Female,"Retired Scientist, marine",None,Sikh
2,Wade Drive,Donna,Andrews,24,Head,Single,Female,Stage manager,None,None
2,Wade Drive,William,Andrews,2,Son,NA,Male,Child,None,NA
2,Wade Drive,Catherine,Andrews,0,Daughter,NA,Female,Child,None,NA
2,Wade Drive,Tony,Walker,55,Sibling,Single,Male,Herbalist,None,None
2,Wade Drive,Norman,Walters,34,Sibling,Divorced,Male,Event organiser,None,Catholic
2,Wade Drive,Vincent,Page,29,Sibling,Single,Male,Biomedical engineer,None,Sikh
3,Wade Drive,Hayley,Smith,68,Head,Married,Female,Retired English as a second language teacher,None,None
3,Wade Drive,Neil,Smith,71,Husband,Married,M,Retired Materials engineer,None,None
4,Wade Drive,Matthew,Hall,33,Head,Married,Male,"Engineer, automotive",None,None
4,Wade Drive,Annette,Hall,30,Wife,Married,Female,Equality and diversity officer,None,None
5,Wade Drive,Clare,Bolton,33,Head,Single,Female,Unemployed,None,None
5,Wade Drive,Mohamed,Bolton,14,Son,NA,Male,Student,None,NA
6,Wade Drive,Zoe,Jones,49,Head,Married,Female,Architect,None,Christian
6,Wade Drive,Dean,Jones,54,Husband,Married,Male,Ship broker,None,None
6,Wade Drive,Leon,Skinner-Jones,22,Son,Single,Male,Clothing/textile technologist,None,None
7,Wade Drive,Frances,Williams,47,Head,Divorced,Female,Unemployed,None,None
7,Wade Drive,Ellie,Cunningham,8,Daughter,NA,f,Student,None,NA
7,Wade Drive,Gordon,Cunningham,4,Son,NA,Male,Child,None,NA
8,Wade Drive,Wendy,Potter,28,Head,Divorced,Female,Glass blower/designer,None,None
9,Wade Drive,Jayne,Thomas,68,Head,Married,Female,Retired Geophysical data processor,None,None
9,Wade Drive,Glen,Thomas,73,Husband,Married,Male,Retired Outdoor activities/education manager,None,Christian
9,Wade Drive,Clifford,Thomas,5,Grandson,NA,Male,Student,None,NA
10,Wade Drive,Richard,Turner,70,Head,Married,Male,Retired Senior tax professional/tax inspector,None,None
10,Wade Drive,Jane,Turner,67,Wife,Married,Female,Emergency planning/management officer,None,None
10,Wade Drive,Melissa,Turner,14,Granddaughter,NA,Female,Student,None,NA
11,Wade Drive,Heather,Williams,43,Head,M,Female,Financial adviser,None,Methodist
11,Wade Drive,Mohammad,Williams,43,Husband,Married,Male,"Psychologist, forensic",None,None
11,Wade Drive,Katie,Williams,17,Daughter,NA,Female,Student,None,NA
12,Wade Drive,Kathryn,Sims,32,Head,Single,Female,"Scientist, marine",None,Christian
13,Wade Drive,Carly,Simpson,36,Head,Divorced,Female,Unemployed,None,Christian
13,Wade Drive,Francesca,Simpson,11,Daughter,NA,Female,Student,None,NA
13,Wade Drive,Chloe,Simpson,8,Daughter,NA,Female,Student,None,NA
13,Wade Drive,Heather,Simpson,8,Daughter,NA,Female,Student,None,NA
13,Wade Drive,Norman,Simpson,4,Son,NA,Male,Child,None,NA
13,Wade Drive,Linda,McCarthy,59,Lodger,Divorced,Female,Meteorologist,None,Methodist
14,Wade Drive,Arthur,Dyer,74,Head,Single,Male,Retired Freight forwarder,None,None
15,Wade Drive,Yvonne,Dixon,49,Head,Married,Female,Advertising account planner,None,Methodist
15,Wade Drive,Gerard,Dixon,50,Husband,Married,Male,Marine scientist,None,None
16,Wade Drive,Jordan,Harding,28,Head,Single,Male,Museum/gallery exhibitions officer,None,Christian
17,Wade Drive,Lee,Holland,39,Head,Single,Male,Unemployed,None,None
17,Wade Drive,Sandra,Holland,17,Daughter,NA,Female,Student,None,NA
17,Wade Drive,Alison,Holland,13,Daughter,NA,F,Student,None,NA
17,Wade Drive,Simon,Holland,9,Son,NA,Male,Student,None,NA
18,Wade Drive,Eileen,Mason,84,Head,Married,Female,Retired Volunteer coordinator,None,None
18,Wade Drive,Paul,Mason,85,Husband,Married,Male,Retired Architect,None,None
19,Wade Drive,Catherine,Gardiner,28,Head,Single,Female,"Geologist, wellsite",None,Catholic
19,Wade Drive,William,Gardiner,7,Son,NA,Male,Student,None,NA
19,Wade Drive,Ricky,Gardiner,2,Son,NA,M,Child,None,NA
20,Wade Drive,Hilary,Patel,61,Head,Single,Female,Health promotion specialist,None,Christian
20,Wade Drive,Benjamin,Hussain,60,Partner,Single,Male,Solicitor,None,Christian
20,Wade Drive,Amelia,Patel,14,Daughter,NA,Female,Student,None,NA
21,Wade Drive,Lewis,Wright,42,Head,Divorced,Male,Unemployed,None,Catholic
21,Wade Drive,Joseph,Wright,11,Son,NA,Male,Student,None,NA
22,Wade Drive,Dawn,Metcalfe,84,Head,Married,Female,Retired Clinical psychologist,None,Christian
22,Wade Drive,Robin,Metcalfe,82,Husband,Married,Male,Retired Chiropodist,None,None
23,Wade Drive,Caroline,Saunders,22,Head,Single,Female,University Student,None,None
23,Wade Drive,Lawrence,Ali,18,None,Single,Male,University Student,None,None
23,Wade Drive,Maurice,Hunt,21,None,Single,Male,University Student,None,NA
24,Wade Drive,Natalie,Smith,43,Head,Divorced,Female,Advertising account planner,None,None
24,Wade Drive,Cheryl,Smith,11,Daughter,NA,Female,Student,None,NA
25,Wade Drive,Marie,Pearson,68,Head,Widowed,Female,Retired Banker,None,None
26,Wade Drive,Malcolm,Cook,50,Head,Single,Male,Claims inspector/assessor,None,None
26,Wade Drive,Catherine,Pratt,49,Partner,Single,Female,Operational investment banker,None,None
27,Wade Drive,Tom,Chan,73,Head,Married,Male,Retired Make,None,None
27,Wade Drive,Beverley,Chan,73,Wife,Married,Female,Retired Radio producer,None,None
28,Wade Drive,Guy,Young,21,Head,Married,Male,Ambulance person,None,None
28,Wade Drive,Jacqueline,Young,22,Wife,Married,Female,University Student,None,None
29,Wade Drive,Mark,Roberts,18,Head,Single,Male,Student,None,NA
30,Wade Drive,Frances,Woods,36,Head,Single,Female,Geophysicist/field seismologist,None,Methodist
30,Wade Drive,Leigh,Jones,41,Partner,Single,Male,"Designer, interior/spatial",None,None
30,Wade Drive,Dorothy,Woods,17,Daughter,NA,Female,Student,None,NA
31,Wade Drive,Kathryn,Smith,68,Head,Married,Female,Retired Glass blower/designer,None,Christian
31,Wade Drive,Jeffrey,Smith,73,Husband,Married,Male,Retired Community pharmacist,None,None
31,Wade Drive,Leanne,Thomas,25,Granddaughter,Widowed,Female,Broadcast engineer,None,Christian
31,Wade Drive,Paula,Thomas,21,Granddaughter,Divorced,Female,University Student,None,Christian
32,Wade Drive,Hollie,Page,34,Head,Married,Female,Customer service manager,None,Sikh
32,Wade Drive,Robert,Page,35,Husband,Married,male,Telecommunications researcher,None,Sikh
32,Wade Drive,Alexandra,Page,12,Daughter,NA,Female,Student,None,NA
33,Wade Drive,Gary,Carr,19,Head,Single,Male,University Student,None,Catholic
33,Wade Drive,Gemma,Smith,18,None,Single,Female,University Student,None,NA
33,Wade Drive,Bernard,McCarthy,20,None,Single,Male,University Student,None,Catholic
33,Wade Drive,Abigail,Walsh,22,None,Single,Female,University Student,None,Christian
34,Wade Drive,Ashleigh,Smith,51,Head,Married,Female,"Therapist, sports",None,Methodist
34,Wade Drive,Ryan,Smith,56,Husband,Married,Male,Health visitor,None,Methodist
35,Wade Drive,Jayne,Hughes,23,Head,Single,Female,Hydrogeologist,None,None
36,Wade Drive,Joan,Stephenson,39,Head,Married,Female,Purchasing manager,None,Catholic
36,Wade Drive,Leonard,Stephenson,43,Husband,Married,Male,Unemployed,None,Catholic
36,Wade Drive,Aimee,Stephenson,16,Daughter,NA,Female,Student,None,NA
36,Wade Drive,Joel,Stephenson,13,Son,NA,Male,Student,None,NA
36,Wade Drive,Bryan,Stephenson,11,Son,NA,Male,Student,None,NA
37,Wade Drive,Frances,Newton,31,Head,Single,Female,Engineering geologist,None,None
38,Wade Drive,Jasmine,Smith,34,Head,Single,Female,Seismic interpreter,None,Catholic
38,Wade Drive,Sean,Smith,1,Son,NA,Male,Child,None,NA
39,Wade Drive,Denise,Armstrong,61,Head,Married,Female,Geographical information systems officer,None,Christian
39,Wade Drive,Hugh,Armstrong,63,Husband,Married,Male,Unemployed,None,Christian
39,Wade Drive,Leslie,Armstrong,14,Son,NA,Male,Student,None,NA
39,Wade Drive,Matthew,Armstrong,10,Son,NA,Male,Student,None,NA
39,Wade Drive,Emily,Armstrong,7,Daughter,NA,Female,Student,None,NA
40,Wade Drive,Rebecca,Richardson,25,Head,Married,Female,Community pharmacist,None,Christian
40,Wade Drive,Abdul,Richardson,24,Husband,Married,Male,Regulatory affairs officer,None,Christian
41,Wade Drive,Heather,Collins,26,Head,Single,Female,Glass blower/designer,None,None
41,Wade Drive,Stuart,Taylor,26,Partner,Single,Male,Insurance broker,None,None
41,Wade Drive,Margaret,Collins,6,Daughter,NA,Female,Student,None,NA
42,Wade Drive,Howard,Mitchell,56,Head,Single,Male,"Horticulturist, commercial",None,None
42,Wade Drive,Lucy,Barry,55,Partner,Single,Female,"Engineer, automotive",None,None
43,Wade Drive,Natalie,Patel,44,Head,Married,Female,Ranger/warden,None,Christian
43,Wade Drive,Daniel,Patel,48,Husband,Married,Male,"Teacher, music",None,Christian
43,Wade Drive,Vincent,Patel,24,Son,Single,Male,"Civil engineer, contracting",None,None
1,Northumberland Stream,June,Foster,49,Head,Divorced,Female,Unemployed,None,Catholic
1,Northumberland Stream,Nigel,Foster,17,Son,NA,Male,Student,None,NA
2,Northumberland Stream,Barry,Bailey,20,Head,Single,Male,Amenity horticulturist,None,None
3,Northumberland Stream,Amanda,Dobson,68,Head,Divorced,Female,Retired Actor,None,Catholic
4,Northumberland Stream,Hayley,Jones,82,Head,Divorced,Female,Retired Intelligence analyst,None,Christian
5,Northumberland Stream,Wayne,Cook,72,Head,Widowed,Male,Retired Media planner,None,Methodist
6,Northumberland Stream,Rachael,Sims,41,Head,Single,Female,Unemployed,None,None
6,Northumberland Stream,Lee,Sims,12,Son,NA,Male,Student,None,NA
6,Northumberland Stream,Albert,Sims,8,Son,NA,Male,Student,None,NA
7,Northumberland Stream,Kimberley,King,46,Head,Single,Female,"Research officer, political party",None,None
8,Northumberland Stream,Gavin,Singh,61,Head,Married,Male,Building services engineer,None,Christian
8,Northumberland Stream,Melissa,Singh,56,Wife,Married,Female,Manufacturing systems engineer,None,Christian
9,Northumberland Stream,Hollie,Armstrong,22,Head,Married,Female,University Student,None,Methodist
9,Northumberland Stream,Norman,Armstrong,22,Husband,Married,Male,University Student,None,None
10,Northumberland Stream,Tom,Jones,69,Head,Divorced,Male,Retired Volunteer coordinator,None,Christian
11,Northumberland Stream,Mathew,Taylor,22,Head,Single,Male,University Student,None,Christian
11,Northumberland Stream,Ruth,Bell,22,None,Single,Female,University Student,None,Methodist
12,Northumberland Stream,Malcolm,Donnelly,35,Head,Single,Male,Seismic interpreter,None,None
13,Northumberland Stream,Olivia,Tucker,65,Head,Divorced,Female,Maintenance engineer,None,Methodist
14,Northumberland Stream,Karl,Evans,29,Head,Married,Male,Associate Professor,None,Christian
14,Northumberland Stream,Linda,Evans,24,Wife,Married,Female,Cabin crew,None,Christian
15,Northumberland Stream,Brian,Lee,53,Head,Divorced,Male,Unemployed,None,None
16,Northumberland Stream,Megan,Grant,50,Head,Married,Female,Mudlogger,None,None
16,Northumberland Stream,Martyn,Grant,50,Husband,Married,Male,"Social research officer, government",None,None
16,Northumberland Stream,Carly,Grant,17,Daughter,NA,Female,Student,None,NA
17,Northumberland Stream,Andrew,Johnson,39,Head,Single,Male,Office manager,None,Christian
18,Northumberland Stream,Terence,Wilson,52,Head,Single,Male,Electrical engineer,None,Methodist
19,Northumberland Stream,Catherine,Richardson,60,Head,Married,Female,"Engineer, structural",None,Christian
19,Northumberland Stream,Scott,Richardson,63,Husband,Married,Male,Quantity surveyor,None,Christian
19,Northumberland Stream,Andrea,Richardson,24,Daughter,Single,Female,Unemployed,None,Christian
1,Preston Avenue,Lauren,Miller,57,Head,Single,Female,"Doctor, general practice",None,Catholic
1,Preston Avenue,Ian,Watts,54,Partner,Single,Male,"Scientist, research (physical sciences)",None,Catholic
1,Preston Avenue,Ashleigh,Miller,25,Daughter,Divorced,Female,Editorial assistant,None,None
1,Preston Avenue,Judith,Miller,23,Daughter,Single,Female,"Teacher, secondary school",None,None
1,Preston Avenue,Sean,Miller,14,Son,NA,Male,Student,None,NA
2,Preston Avenue,Robert,Chapman,68,Head,Married,Male,Retired Fisheries officer,None,Christian
2,Preston Avenue,Anna,Chapman,66,Wife,Married,Female,Chartered management accountant,None,Christian
3,Preston Avenue,Ian,Robson,39,Head,Single,Male,Clinical biochemist,None,Catholic
3,Preston Avenue,Hilary,Davison,44,Partner,Single,Female,Research scientist (medical),None,Catholic
4,Preston Avenue,Gillian,Marsh,18,Head,Divorced,Female,Student,None,NA
5,Preston Avenue,Jay,Dickinson,31,Head,Single,Male,Forest/woodland manager,None,None
5,Preston Avenue,Nicola,Cole,26,Partner,Single,Female,Media buyer,None,None
6,Preston Avenue,Dawn,Price,32,Head,Single,Female,Furniture conservator/restorer,None,None
7,Preston Avenue,Joan,Stone,20,Head,Single,Female,University Student,None,Catholic
7,Preston Avenue,Sam,Bibi,51,None,Single,Male,Radio producer,None,None
8,Preston Avenue,Rebecca,Todd,75,Head,Divorced,Female,Retired Herpetologist,None,None
1,Mills Street,Jessica,Burrows,31,Head,Single,Female,Health promotion specialist,None,None
1,Mills Street,Jake,Clark,35,Partner,Single,Male,Charity officer,None,None
1,Mills Street,Kathleen,Burrows,7,Daughter,NA,Female,Student,None,NA
1,Mills Street,Zoe,Burrows,6,Daughter,NA,Female,Student,None,NA
1,Mills Street,Dominic,Burrows,0,Son,NA,Male,Child,None,NA
2,Mills Street,Emily,Jenkins,39,Head,Single,Female,Company secretary,None,Catholic
2,Mills Street,Karl,Morris,42,Partner,Single,Male,"Engineer, civil (consulting)",None,Catholic
2,Mills Street,Richard,Jenkins,17,Son,NA,Male,Student,None,NA
3,Mills Street,Amber,Jackson,53,Head,Married,Female,Homeopath,None,Christian
3,Mills Street,Alexander,Jackson,55,Husband,M,Male,Immunologist,None,Catholic
3,Mills Street,Louis,Jackson,23,Son,Single,Male,Minerals surveyor,None,Christian
4,Mills Street,Nicola,Moss,34,Head,Single,Female,Legal executive,None,None
4,Mills Street,Adrian,Evans,34,Partner,Single,Male,Musician,None,None
5,Mills Street,Russell,Whittaker,28,Head,Single,Male,Minerals surveyor,None,None
5,Mills Street,Angela,Nicholson,28,Partner,Single,Female,"Producer, television/film/video",None,None
6,Mills Street,Emily,Power,37,Head,Single,Female,Unemployed,None,None
6,Mills Street,Paul,Power,6,Son,NA,Male,Student,None,NA
6,Mills Street,Adam,Power,1,Son,NA,Male,Child,None,NA
6,Mills Street,Douglas,Williams,23,Lodger,Single,Male,Location manager,None,None
6,Mills Street,Ruth,Taylor,22,Sibling,Single,Female,University Student,None,Methodist
7,Mills Street,Teresa,Todd,34,Head,Divorced,Female,Unemployed,None,Methodist
7,Mills Street,Chelsea,Todd,6,Daughter,NA,Female,Student,None,NA
7,Mills Street,Jordan,Todd,2,Son,NA,Male,Child,None,NA
7,Mills Street,John,Cook,20,Lodger,Divorced,Male,University Student,None,Methodist
8,Mills Street,Diana,Cole,38,Head,Single,Female,Unemployed,None,Catholic
8,Mills Street,Denise,Cole,14,Daughter,NA,Female,Student,None,NA
8,Mills Street,Christine,Cole,11,Daughter,NA,Female,Student,None,NA
8,Mills Street,Maureen,Cole,8,Daughter,NA,Female,Student,None,NA
8,Mills Street,Jeremy,Cole,4,Son,NA,Male,Child,None,NA
9,Mills Street,Aimee,Richards,33,Head,Divorced,Female,"Horticulturist, amenity",None,Christian
9,Mills Street,Howard,Richards,3,Son,NA,M,Child,None,NA
10,Mills Street,Tom,Mitchell,66,Head,Married,Male,Senior tax professional/tax inspector,None,Christian
10,Mills Street,Georgina,Mitchell,61,Wife,Married,Female,Interior and spatial designer,None,Christian
11,Mills Street,Dawn,Donnelly,65,Head,Married,Female,Unemployed,None,Christian
11,Mills Street,Thomas,Donnelly,73,Husband,Married,Male,"Retired Surveyor, land/geomatics",None,Christian
12,Mills Street,Naomi,Wood,32,Head,Married,Female,"Administrator, sports",None,Catholic
12,Mills Street,William,Wood,37,Husband,Married,Male,Architect,None,Christian
12,Mills Street,Ricky,Wood,5,Son,NA,Male,Student,None,NA
12,Mills Street,Joe,Wood,4,Son,NA,Male,Child,None,NA
12,Mills Street,Tom,Wood,2,Son,NA,Male,Child,None,NA
13,Mills Street,Carl,Hale,76,Head,Widowed,Male,"Retired Production designer, theatre/television/film",None,Catholic
13,Mills Street,Sally,Hale,12,Granddaughter,NA,Female,Student,None,NA
14,Mills Street,Kayleigh,Wood,53,Head,Married,Female,Mudlogger,None,Christian
14,Mills Street,Danny,Wood,54,Husband,Married,Male,Farm manager,None,Christian
14,Mills Street,Adam,Wood,21,Son,Single,Male,University Student,None,Christian
14,Mills Street,Joshua,Wood,18,Son,Single,Male,Student,None,Christian
14,Mills Street,Wendy,Wood,16,Daughter,NA,Female,Student,None,NA
15,Mills Street,June,Carey,50,Head,Married,Female,"Sales professional, IT",None,None
15,Mills Street,Lee,Carey,56,Husband,Married,Male,Animator,None,None
15,Mills Street,Rachel,Carey,26,Daughter,Single,Female,Brewing technologist,None,None
15,Mills Street,Elliott,Carey,22,Son,Single,Male,University Student,None,None
15,Mills Street,Toby,Carey,14,Son,NA,Male,Student,None,NA
16,Mills Street,Liam,Pugh,31,Head,Single,Male,Unemployed,None,None
16,Mills Street,Christine,Atkinson,33,Partner,Single,Female,Ambulance person,None,None
1,St.Luke Wall,Ann,Smith,23,Head,Single,Female,Marine scientist,None,Catholic
2,St.Luke Wall,Tina,Higgins,54,Head,Married,Female,Community education officer,None,Methodist
2,St.Luke Wall,Tom,Higgins,52,Husband,Married,Male,Chief Technology Officer,None,None
3,St.Luke Wall,Shirley,Day,34,Head,Divorced,Female,"Accountant, chartered",None,None
3,St.Luke Wall,Jayne,Day,14,Neice,NA,Female,Student,None,NA
4,St.Luke Wall,Bryan,Jones,49,Head,Single,Male,Education administrator,None,Christian
4,St.Luke Wall,Chloe,Norman,55,Partner,Single,Female,Sales promotion account executive,None,Christian
5,St.Luke Wall,Bradley,Rowley,19,Head,Single,Male,Environmental health practitioner,None,None
6,St.Luke Wall,Hilary,Price,68,Head,Married,Female,Retired Environmental education officer,None,Christian
6,St.Luke Wall,Norman,Price,74,Husband,Married,Male,Retired Sports administrator,None,None
7,St.Luke Wall,Aimee,Phillips,47,Head,Divorced,Female,Best boy,None,None
7,St.Luke Wall,Ian,Phillips,13,Son,NA,Male,Student,None,NA
8,St.Luke Wall,Rachel,Lowe,65,Head,Married,Female,Set designer,None,Christian
8,St.Luke Wall,Benjamin,Lowe,66,Husband,Married,Male,Chiropodist,None,Christian
9,St.Luke Wall,Geoffrey,Adams,20,Head,Single,Male,University Student,None,Catholic
10,St.Luke Wall,Graeme,Collins,83,Head,Widowed,Male,"Retired Surveyor, minerals",None,Methodist
10,St.Luke Wall,Hannah,Williams,25,Granddaughter,Single,Female,"Designer, fashion/clothing",None,Methodist
10,St.Luke Wall,Jodie,Williams,21,Granddaughter,Single,Female,University Student,None,Methodist
10,St.Luke Wall,Lee,Williams,21,Grandson,Single,Male,University Student,None,Methodist
11,St.Luke Wall,Jake,Fox,41,Head,Single,Male,Acupuncturist,None,Christian
12,St.Luke Wall,Danielle,Scott,78,Head,Widowed,Female,"Retired Lecturer, further education",None,None
13,St.Luke Wall,Raymond,Atkins,71,Head,Married,Male,Retired Senior tax professional/tax inspector,None,Catholic
13,St.Luke Wall,Pauline,Atkins,68,Wife,Married,Female,Retired Quantity surveyor,None,Catholic
14,St.Luke Wall,Amber,Morgan,66,Head,Widowed,Female,Herpetologist,None,Muslim
15,St.Luke Wall,Charlene,Oliver,52,Head,Married,Female,"Editor, magazine features",None,None
15,St.Luke Wall,Hugh,Oliver,54,Husband,Married,Male,Tree surgeon,None,None
15,St.Luke Wall,Irene,Oliver,9,Daughter,NA,Female,Student,None,NA
15,St.Luke Wall,Robin,Oliver,5,Son,NA,Male,Student,None,NA
15,St.Luke Wall,Katy,Oliver,2,Daughter,NA,Female,Child,None,NA
16,St.Luke Wall,Harry,Evans,52,Head,Married,Male,Statistician,None,None
16,St.Luke Wall,Dorothy,Evans,50,Wife,Married,Female,Tax adviser,None,None
17,St.Luke Wall,Georgia,Ellis,41,Head,Single,Female,"Engineer, maintenance",None,Methodist
17,St.Luke Wall,Marc,Jones,44,Partner,Single,Male,Professor Emeritus,None,Methodist
17,St.Luke Wall,Alice,Ellis,5,Daughter,NA,Female,Student,None,NA
17,St.Luke Wall,Joe,Ellis,5,Son,NA,Male,Student,None,NA
17,St.Luke Wall,Gerard,Ellis,2,Adopted Son,NA,Male,Child,None,NA
18,St.Luke Wall,Maureen,Johnson,42,Head,Single,Female,Chief Executive Officer,None,None
18,St.Luke Wall,Gillian,Cox,63,Lodger,Divorced,Female,Systems developer,None,Catholic
18,St.Luke Wall,Michael,Howard,32,Visitor,Single,Male,Politician's assistant,None,Methodist
18,St.Luke Wall,Maria,Hardy,42,Lodger,Single,Female,Freight forwarder,None,Catholic
19,St.Luke Wall,Stuart,Brown,64,Head,Single,Male,Emergency planning/management officer,None,None
19,St.Luke Wall,Philip,Smith,24,None,Single,Male,Planning and development surveyor,None,None
20,St.Luke Wall,Glen,Perry,32,Head,Single,Male,Public house manager,None,Catholic
20,St.Luke Wall,Alison,Chandler,29,Partner,Single,Female,Hospital doctor,None,Catholic
21,St.Luke Wall,William,Richardson,42,Head,Single,Male,Lexicographer,None,None
21,St.Luke Wall,Lindsey,Harvey,35,Partner,Single,Female,Hydrographic surveyor,None,None
21,St.Luke Wall,Suzanne,Richardson,16,Daughter,NA,Female,Student,None,NA
21,St.Luke Wall,Andrea,Richardson,14,Daughter,NA,Female,Student,None,NA
22,St.Luke Wall,Pamela,Humphries,50,Head,Married,Female,Further education lecturer,None,None
22,St.Luke Wall,Nigel,Humphries,49,Husband,Married,Male,Chiropodist,None,Catholic
22,St.Luke Wall,Joan,Humphries,21,Daughter,Single,Female,University Student,None,None
22,St.Luke Wall,Kieran,Humphries,14,Son,NA,Male,Student,None,NA
23,St.Luke Wall,Emma,Ryan,48,Head,Single,Female,"Programmer, multimedia",None,Catholic
23,St.Luke Wall,Justin,Patel,46,Partner,Single,Male,Retail manager,None,None
24,St.Luke Wall,Jay,Grant,20,Head,Divorced,Male,University Student,None,Christian
25,St.Luke Wall,Aaron,Ward,39,Head,Single,Male,"Geologist, wellsite", ,Christian
25,St.Luke Wall,Bernard,Jones,30,None,Single,Male,"Engineer, electrical",None,Christian
